value;time
21,81;2024-05-28 11:34:28 AM
21,82;2024-05-28 11:33:28 AM
21,73;2024-05-28 11:32:28 AM
21,72;2024-05-28 11:31:28 AM
21,76;2024-05-28 11:30:28 AM
21,66;2024-05-28 11:29:28 AM
21,58;2024-05-28 11:28:28 AM
21,52;2024-05-28 11:27:28 AM
21,50;2024-05-28 11:26:28 AM
21,52;2024-05-28 11:25:27 AM
21,58;2024-05-28 11:24:27 AM
21,56;2024-05-28 11:23:27 AM
21,44;2024-05-28 11:22:27 AM
21,43;2024-05-28 11:21:27 AM
21,40;2024-05-28 11:20:27 AM
21,36;2024-05-28 11:19:27 AM
21,33;2024-05-28 11:18:27 AM
21,24;2024-05-28 11:17:27 AM
21,21;2024-05-28 11:16:27 AM
21,13;2024-05-28 11:15:27 AM
21,09;2024-05-28 11:14:27 AM
21,06;2024-05-28 11:13:27 AM
20,96;2024-05-28 11:12:27 AM
20,96;2024-05-28 11:11:27 AM
20,99;2024-05-28 11:10:27 AM
21,07;2024-05-28 11:09:26 AM
21,08;2024-05-28 11:08:26 AM
21,18;2024-05-28 11:07:26 AM
21,22;2024-05-28 11:06:26 AM
21,22;2024-05-28 11:05:26 AM
21,37;2024-05-28 11:04:26 AM
21,44;2024-05-28 11:03:26 AM
21,34;2024-05-28 11:02:26 AM
21,42;2024-05-28 11:01:26 AM
21,48;2024-05-28 11:00:26 AM
21,43;2024-05-28 10:59:26 AM
21,51;2024-05-28 10:58:26 AM
21,57;2024-05-28 10:57:26 AM
21,58;2024-05-28 10:56:26 AM
21,62;2024-05-28 10:55:25 AM
21,66;2024-05-28 10:54:25 AM
21,62;2024-05-28 10:53:25 AM
21,62;2024-05-28 10:52:26 AM
21,68;2024-05-28 10:51:25 AM
21,61;2024-05-28 10:50:25 AM
21,73;2024-05-28 10:49:25 AM
21,58;2024-05-28 10:48:25 AM
21,61;2024-05-28 10:47:25 AM
21,53;2024-05-28 10:46:25 AM
21,60;2024-05-28 10:45:25 AM
21,54;2024-05-28 10:44:25 AM
21,55;2024-05-28 10:43:24 AM
21,55;2024-05-28 10:42:25 AM
21,55;2024-05-28 10:41:24 AM
21,60;2024-05-28 10:40:25 AM
21,58;2024-05-28 10:39:24 AM
21,48;2024-05-28 10:38:24 AM
21,54;2024-05-28 10:37:24 AM
21,44;2024-05-28 10:36:24 AM
21,52;2024-05-28 10:35:24 AM
21,44;2024-05-28 10:34:24 AM
21,51;2024-05-28 10:33:24 AM
21,48;2024-05-28 10:32:24 AM
21,49;2024-05-28 10:31:24 AM
21,43;2024-05-28 10:30:24 AM
21,41;2024-05-28 10:29:24 AM
21,42;2024-05-28 10:28:24 AM
21,37;2024-05-28 10:27:23 AM
21,45;2024-05-28 10:26:23 AM
21,47;2024-05-28 10:25:23 AM
21,44;2024-05-28 10:24:23 AM
21,51;2024-05-28 10:23:23 AM
21,36;2024-05-28 10:22:23 AM
21,49;2024-05-28 10:21:23 AM
21,41;2024-05-28 10:20:23 AM
21,39;2024-05-28 10:19:23 AM
21,32;2024-05-28 10:18:22 AM
21,34;2024-05-28 10:17:23 AM
21,33;2024-05-28 10:16:22 AM
21,31;2024-05-28 10:15:22 AM
21,32;2024-05-28 10:14:22 AM
21,36;2024-05-28 10:13:22 AM
21,36;2024-05-28 10:12:22 AM
21,43;2024-05-28 10:11:22 AM
21,40;2024-05-28 10:10:22 AM
21,41;2024-05-28 10:09:22 AM
21,37;2024-05-28 10:08:22 AM
21,40;2024-05-28 10:07:22 AM
21,30;2024-05-28 10:06:22 AM
21,30;2024-05-28 10:05:22 AM
21,43;2024-05-28 10:04:22 AM
21,27;2024-05-28 10:03:22 AM
21,30;2024-05-28 10:02:22 AM
21,20;2024-05-28 10:01:22 AM
21,18;2024-05-28 10:00:22 AM
21,13;2024-05-28 09:59:21 AM
21,20;2024-05-28 09:58:21 AM
21,21;2024-05-28 09:57:21 AM
21,25;2024-05-28 09:56:21 AM
21,21;2024-05-28 09:55:21 AM
21,21;2024-05-28 09:54:21 AM
21,20;2024-05-28 09:53:21 AM
21,14;2024-05-28 09:52:21 AM
21,21;2024-05-28 09:51:21 AM
21,22;2024-05-28 09:50:21 AM
21,25;2024-05-28 09:49:21 AM
21,24;2024-05-28 09:48:21 AM
21,15;2024-05-28 09:47:21 AM
21,24;2024-05-28 09:46:21 AM
21,15;2024-05-28 09:45:20 AM
21,04;2024-05-28 09:44:20 AM
21,08;2024-05-28 09:43:20 AM
21,06;2024-05-28 09:42:20 AM
21,08;2024-05-28 09:41:20 AM
21,07;2024-05-28 09:40:20 AM
20,94;2024-05-28 09:39:21 AM
20,99;2024-05-28 09:38:20 AM
21,02;2024-05-28 09:37:20 AM
20,94;2024-05-28 09:36:20 AM
21,01;2024-05-28 09:35:20 AM
20,93;2024-05-28 09:34:20 AM
20,90;2024-05-28 09:33:20 AM
20,80;2024-05-28 09:32:20 AM
20,87;2024-05-28 09:31:20 AM
20,90;2024-05-28 09:30:20 AM
20,79;2024-05-28 09:29:20 AM
20,89;2024-05-28 09:28:19 AM
20,85;2024-05-28 09:27:19 AM
20,89;2024-05-28 09:26:20 AM
20,88;2024-05-28 09:25:19 AM
20,74;2024-05-28 09:24:19 AM
20,78;2024-05-28 09:23:19 AM
20,85;2024-05-28 09:22:19 AM
20,83;2024-05-28 09:21:20 AM
20,84;2024-05-28 09:20:19 AM
20,79;2024-05-28 09:19:20 AM
20,79;2024-05-28 09:18:20 AM
20,71;2024-05-28 09:17:19 AM
20,68;2024-05-28 09:16:20 AM
20,64;2024-05-28 09:15:20 AM
20,60;2024-05-28 09:14:19 AM
20,63;2024-05-28 09:13:19 AM
20,60;2024-05-28 09:12:20 AM
20,57;2024-05-28 09:11:19 AM
20,55;2024-05-28 09:10:19 AM
20,44;2024-05-28 09:09:20 AM
20,38;2024-05-28 09:08:19 AM
20,41;2024-05-28 09:07:20 AM
20,32;2024-05-28 09:06:19 AM
20,52;2024-05-28 09:05:19 AM
20,38;2024-05-28 09:04:19 AM
20,31;2024-05-28 09:03:19 AM
20,46;2024-05-28 09:02:20 AM
20,35;2024-05-28 09:01:20 AM
20,29;2024-05-28 09:00:19 AM
20,23;2024-05-28 08:59:19 AM
20,24;2024-05-28 08:58:20 AM
20,18;2024-05-28 08:57:20 AM
20,19;2024-05-28 08:56:20 AM
20,18;2024-05-28 08:55:20 AM
20,01;2024-05-28 08:54:20 AM
20,01;2024-05-28 08:53:20 AM
19,93;2024-05-28 08:52:20 AM
19,89;2024-05-28 08:51:19 AM
19,93;2024-05-28 08:50:20 AM
19,94;2024-05-28 08:49:19 AM
19,78;2024-05-28 08:48:19 AM
19,82;2024-05-28 08:47:19 AM
19,76;2024-05-28 08:46:19 AM
19,69;2024-05-28 08:45:19 AM
19,70;2024-05-28 08:44:19 AM
19,75;2024-05-28 08:43:19 AM
19,67;2024-05-28 08:42:19 AM
19,67;2024-05-28 08:41:19 AM
19,58;2024-05-28 08:40:19 AM
19,50;2024-05-28 08:39:19 AM
19,60;2024-05-28 08:38:19 AM
19,56;2024-05-28 08:37:19 AM
19,53;2024-05-28 08:36:19 AM
19,59;2024-05-28 08:35:19 AM
19,73;2024-05-28 08:34:19 AM
19,65;2024-05-28 08:33:19 AM
19,71;2024-05-28 08:32:19 AM
19,65;2024-05-28 08:31:19 AM
19,58;2024-05-28 08:30:19 AM
